Without Regularization:
Exp 0: vGraph,facebook0,0.05,0,5000,0.22541666666666665,0.13675601168082738
Exp 1: vGraph,facebook107,0.05,0,5000,0.2727777777777778,0.17734179346452839
Exp 2: vGraph,facebook1684,0.05,0,5000,0.4235294117647058,0.29324291151410103
Exp 3: vGraph,facebook1912,0.05,0,5000,0.24260869565217394,0.1729485060021157
Exp 4: vGraph,facebook3437,0.05,0,5000,0.20015624999999998,0.11443919085432094
Exp 5: vGraph,facebook348,0.05,0,5000,0.5478571428571428,0.40450467390935924
Exp 6: vGraph,facebook3980,0.05,0,5000,0.38294117647058823,0.2812756732787159
Exp 7: vGraph,facebook414,0.05,0,5000,0.6092857142857142,0.47826724465786086
Exp 8: vGraph,facebook686,0.05,0,5000,0.44678571428571423,0.3007963455345905
Exp 9: vGraph,facebook698,0.05,0,5000,0.5176923076923077,0.40147656252085884

With Regularization:
Exp 0: vGraph,facebook0,0.05,100,5000,0.2645833333333333,0.16661442655809425
Exp 0: vGraph,facebook686,0.05,100,5000,0.5346428571428571,0.40358748631113006
Exp 1: vGraph,facebook698,0.05,100,5000,0.30615384615384617,0.2052533051995032
Exp 0: vGraph,facebook698,0.05,100,5000,0.395,0.2665234908202221
Exp 0: vGraph,facebook348,0.05,100,5000,0.5646428571428572,0.4628916313976982
Exp 0: vGraph,facebook698,0.05,100,5000,0.3734615384615385,0.268532667301429
Exp 2: vGraph,facebook414,0.05,100,5000,0.4228571428571429,0.28613760227821183
Exp 0: vGraph,facebook1684,0.05,100,5000,0.29647058823529415,0.19226392819961138
Exp 1: vGraph,facebook107,0.05,100,5000,0.2816666666666666,0.18088373521604761
